#Parameters = {g_w=0.1; m_th=0.01; lin_w=0.57; er=2.33; lamb=20; subs_th=0.2; subs_l=10; subs_w=10; Patch_length=6.3548709179955; Patch_width=5.7348835113618; x_shift=0.5; y_shift=0}
#"Frequency / GHz"	"Z1,1 [Re]"	"Z1,1 [Im]"
#-----------------------------------------
13.263999938965	10.926619377741	-295.11985064206
13.267999649048	10.698168347743	-294.22508220821
13.272000312805	10.439984498795	-293.31438174802
13.276000022888	10.155417329494	-292.38568927396
13.279999732971	9.8476584526015	-291.43547846387
13.284000396729	9.5204954443919	-290.46217360737
13.288000106812	9.1776324231895	-289.46322042635
13.291999816895	8.8230134445992	-288.43801323906
13.295999526978	8.4606534423611	-287.38612275315
13.300000190735	8.0944776778079	-286.30632985132
13.303999900818	7.7284611196574	-285.19946914360
13.307999610901	7.3664973023716	-284.06563054275
13.312000274658	7.0121943043086	-282.90617295020
13.315999984741	6.6690439048715	-281.72236548261
13.319999694824	6.3402432811452	-280.51582368345
13.324000358582	6.0289315188383	-279.28867069784
13.328000068665	5.7376136877926	-278.04324327938
13.331999778748	5.4686500356659	-276.78210051892
13.336000442505	5.2240640372549	-275.50801406445
13.340000152588	5.0054614526806	-274.22384208220
13.343999862671	4.8140715046974	-272.93268000475
13.347999572754	4.6508668361827	-271.63750806351
13.352000236511	4.5163561182347	-270.34145520654
13.355999946594	4.4107027513284	-269.04755775547
13.359999656677	4.3338124019588	-267.75880345275
13.364000320435	4.2852466551922	-266.47810744987
13.368000030518	4.2642672076883	-265.20826028896
13.371999740601	4.2698213836714	-263.95185851361
13.376000404358	4.3006502657015	-262.71141534940
13.380000114441	4.3553112676417	-261.48918347315
13.383999824524	4.4320928619243	-260.28725986975
13.387999534607	4.5290525638859	-259.10745479014
13.392000198364	4.6443393982027	-257.95141353483
13.395999908447	4.7757531172419	-256.82054069345
13.399999618530	4.9210146620517	-255.71600998223
13.404000282288	5.0779281993331	-254.63866052312
13.407999992371	5.2440693005997	-253.58919870744
13.411999702454	5.4171310848496	-252.56811372700
13.416000366211	5.5947012829578	-251.57551071202
13.420000076294	5.7745102997846	-250.61139007850
13.423999786377	5.9541676434050	-249.67547734620
13.428000450134	6.1313946215771	-248.76728832408
13.432000160217	6.3040812485611	-247.88610135708
13.435999870300	6.4701147343247	-247.03106149307
13.439999580383	6.6275823650580	-246.20101740587
13.444000244141	6.7745773995854	-245.39474057484
13.447999954224	6.9094579530222	-244.61079257080
13.451999664307	7.0306560451473	-243.84757507642
13.456000328064	7.1368683147421	-243.10339376604
13.460000038147	7.2267972589184	-242.37644146492
13.463999748230	7.2995911985027	-241.66471244409
13.468000411987	7.3543960261015	-240.96624663920
13.472000122070	7.3906180332415	-240.27901092015
13.475999832153	7.4079419776034	-239.60086517738
13.479999542236	7.4062419156172	-238.92970510474
13.484000205994	7.3855159529476	-238.26341396361
13.487999916077	7.3460818700178	-237.59993615572
13.491999626160	7.2884864261868	-236.93726125227
13.496000289917	7.2133786007690	-236.27341071227
13.500000000000	7.1216576490020	-235.60657310471
13.503999710083	7.0144667574116	-234.93502522166
13.508000373840	6.8929088381408	-234.25718386464
13.512000083923	6.7585294040168	-233.57157846051
13.515999794006	6.6127468982796	-232.87701328597
13.520000457764	6.4572669859582	-232.17234446528
